FSA,geo_id,income,education,mbsa,ses,Borough,Neighbourhood,longitude,latitude
M1B,32007295,23250,6.268104089,0.499854397,-2.722181146,Scarborough,Malvern / Rouge,-79.20815256831683,43.805420276237626
M1C,32007296,34875,8.535734543,0.641462812,0.181649755,Scarborough,Rouge Hill / Port Union / Highland Creek,-79.15445398552473,43.78784678528348
M1E,32007297,24726,6.792614573,0.518585675,-2.272600179,Scarborough,Guildwood / Morningside / West Hill,-79.18931680363636,43.766403946666664
M1G,32007298,21378,6.272138229,0.429107277,-3.415305901,Scarborough,Woburn,-79.22098768105066,43.76711305816135
M1H,32007299,24029,7.506204536,0.514940647,-2.140883831,Scarborough,Cedarbrae,-79.2491073525641,43.764275168803415
M1J,32007300,22537,6.217722923,0.460017969,-3.095057488,Scarborough,Scarborough Village,-79.2301642255489,43.74907808183633
M1K,32007301,22253,6.195370567,0.474715972,-3.025420988,Scarborough,Kennedy Park / Ionview / East Birchmount Park,-79.26357480887793,43.729265829839704
M1L,32007302,23062,7.286070427,0.482137496,-2.543044671,Scarborough,Golden Mile / Clairlea / Oakridge,-79.2839725834464,43.70954877476255
M1M,32007303,27842,7.509576837,0.60706592,-1.097607627,Scarborough,Cliffside / Cliffcrest / Scarborough Village West,-79.23422172113676,43.72647880106572
M1N,32007304,33114,7.814788227,0.612755315,-0.430650577,Scarborough,Birch Cliff / Cliffside West,-79.2660112541806,43.696947277591974
M1P,32007305,23357,6.937891873,0.491853601,-2.554991081,Scarborough,Dorset Park / Wexford Heights / Scarborough Town Centre,-79.27103566790123,43.76098408148148
M1R,32007306,26245,6.4918834,0.520177839,-2.204808595,Scarborough,Wexford / Maryvale,-79.31551245402952,43.75546258569807
M1S,32007307,20672,7.606944444,0.517107093,-2.429944536,Scarborough,Agincourt,-79.2719007612096,43.792575002085506
M1T,32007308,20747,7.482192995,0.536647546,-2.322299475,Scarborough,Clarks Corners / Tam O'Shanter / Sullivan,-79.30309471132075,43.78179510566038
M1V,32007309,18753,6.997212982,0.461249329,-3.217031369,Scarborough,Milliken / Agincourt North / Steeles East / L'Amoreaux East,-79.28065817986425,43.817251251131225
M1W,32007310,21306,7.879642785,0.535384615,-2.148432462,Scarborough,Steeles West / L'Amoreaux West,-79.32092244502618,43.798608108202444
M1X,32007311,25283,6.170096022,0.512950095,-2.455756235,Scarborough,Upper Rouge,-79.22451783203125,43.82650665234375
M2H,32007312,25147,10.17531306,0.666936791,-0.088445366,North York,Hillcrest Village,-79.36683104061896,43.79899351837524
M2J,32007313,23469,9.720921556,0.595385174,-0.914172257,North York,Fairview / Henry Farm / Oriole,-79.34732005867666,43.780173712858925
M2K,32007314,32988,12.38307692,0.717805672,1.766912502,North York,Bayview Village,-79.38407774780701,43.77785206798246
M2L,32007315,38683,12.11568123,0.782040816,2.712822226,North York,York Mills / Silver Hills,-79.38326509214092,43.75171199186992
M2M,32007316,22952,11.34857676,0.661879114,0.02959567,North York,Willowdale / Newtonbrook,-79.4159339076923,43.78747582377623
M2N,32007317,30085,13.1277566,0.754711827,1.977675916,North York,WillowdaleSouth,-79.40992155358582,43.768523451248996
M2P,32007318,45504,12.51640867,0.806779661,3.70205347,North York,York Mills West,-79.40192394488189,43.74792361417323
M2R,32007319,22287,9.753445636,0.557451923,-1.294004549,North York,WillowdaleWest,-79.43671956169429,43.780692261510126
M3A,32007320,27070,8.894247531,0.594947025,-0.819931947,North York,Parkwoods,-79.32962797193501,43.753265118168386
M3B,32007321,41415,12.14135338,0.766263238,2.882061482,North York,Don MillsNorth,-79.35865037424547,43.74550975855131
M3C,32007322,25671,8.548136441,0.569250986,-1.254732404,North York,Don MillsSouth,-79.3463641316568,43.729991593195265
M3H,32007323,29368,9.356453029,0.635250266,-0.153300692,North York,Bathurst Manor / Wilson Heights / Downsview North,-79.44670855212766,43.751827137234045
M3J,32007324,21182,7.195180723,0.441033926,-3.054979442,North York,Northwood Park / York University,-79.48861974788494,43.762516739424704
M3K,32007325,24480,5.414089347,0.435168739,-3.334585199,North York,DownsviewEast,-79.4686570859375,43.734888457031246
M3L,32007326,22259,4.495211268,0.368649318,-4.326975272,North York,DownsviewWest,-79.51008976744185,43.734602598837206
M3M,32007327,23867,5.072335025,0.406211688,-3.712508313,North York,DownsviewCentral,-79.49309570105264,43.73038653894737
M3N,32007328,20495,4.595584782,0.302491103,-4.945659208,North York,DownsviewNorthwest,-79.51538551960785,43.75594006372549
M4A,32007329,26653,7.101713452,0.568068425,-1.626306921,North York,Victoria Village,-79.32010253133515,43.72482442779292
M4B,32007330,27596,6.992104547,0.57097957,-1.54585159,East York,Parkview Hill / Woodbine Gardens,-79.30881427950311,43.70666069358178
M4C,32007331,28503,8.564887177,0.609923514,-0.67405419,East York,Woodbine Heights,-79.31317030011455,43.690812524627724
M4G,32007333,51469,11.65927589,0.789200415,3.900942736,East York,Leaside,-79.36906571589086,43.70832872070626
M4H,32007334,19261,7.579836512,0.465006729,-2.953232267,East York,Thorncliffe Park,-79.35775774509804,43.70539016993464
M4N,32007339,54792,13.55341807,0.812129202,5.002946044,Central Toronto,Lawrence Park,-79.38898671899224,43.72806389922481
M4P,32007340,40051,12.27169421,0.739939256,2.598327812,Central Toronto,Davisville North,-79.3583676451613,43.715424297235025
M4R,32007341,48842,13.48483477,0.823842065,4.468121137,Central Toronto,North Toronto West,-79.40623285338346,43.712405259398494
M4S,32007342,46634,12.81952781,0.791794244,3.804819818,Central Toronto,Davisville,-79.39325865375854,43.69925529157175
M4T,32007343,51827,14.17795753,0.83028720600000006,5.034888514,Central Toronto,Moore Park / Summerhill East,-79.37750974380165,43.69029200275482
M4V,32007344,50139,14.84435342,0.827823691,5.060602114,Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,-79.40097326744186,43.68438977906977
M4W,32007345,53369,15.41420118,0.830200907,5.58347121,Downtown Toronto,Rosedale,-79.3788016003824,43.67891780497132
M4X,32007346,20101,9.936642554,0.555456965,-1.469093731,Downtown Toronto,St. James Town / Cabbagetown,-79.36946104519774,43.668373672316385
M4Y,32007347,34577,14.66158059,0.740161876,2.813549537,Downtown Toronto,Church and Wellesley,-79.38014732258064,43.669687878411914
M5A,32007348,26954,9.988023952,0.635252165,-0.193867121,Downtown Toronto,Regent Park / Harbourfront,-79.37380770549738,43.65542195157068
M5B,32007349,27600,13.01268201,0.734842951,1.549405949,Downtown Toronto,"Garden District, Ryerson",-79.37112567256636,43.66303932153392
M5C,32007350,49875,14.40564374,0.814385151,4.797876159,Downtown Toronto,St. James Town,-79.38323749864499,43.65732081571816
M5E,32007351,50271,14.40617761,0.826419214,4.923946857,Downtown Toronto,Berczy Park,-79.37645157692307,43.649400042735046
M5G,32007352,27644,16.9400722,0.826621924,3.464446904,Downtown Toronto,Central Bay Street,-79.38605516504855,43.65911015210356
M5H,32007353,47692,13.9009901,0.788819876,4.234776128,Downtown Toronto,Richmond / Adelaide / King,-79.38926577366256,43.65338255967078
M5J,32007354,49656,16.19274809,0.799870884,5.242297816,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands,-79.38301198181819,43.647431628571425
M5M,32007357,49078,11.92908351,0.791803879,3.765862181,North York,Bedford Park / Lawrence Manor East,-79.42025845427287,43.729943529235385
M5N,32007358,39461,12.03550658,0.758849558,2.599193831,Central Toronto,Roselawn,-79.41888023543689,43.70917879368932
M5P,32007359,40086,13.7561926,0.810232558,3.578986114,Central Toronto,Forest Hill North & West,-79.42025205508475,43.692007561440676
M5R,32007360,35734,15.53738019,0.795071336,3.602324558,Central Toronto,The Annex / North Midtown / Yorkville,-79.40931214122138,43.67055166221374
M5S,32007361,25291,15.51592357,0.759223301,2.291270264,Downtown Toronto,University of Toronto / Harbord,-79.39833023747276,43.66539946840959
M5T,32007362,19467,10.2903671,0.627246925,-0.905692368,Downtown Toronto,Kensington Market / Chinatown / Grange Park,-79.39696711652542,43.65359925635593
