game,year,month_str,week,total_jp_size,total_jp_sales
Lotto Max,2012,January,Monday,33400000,291.59777777777776
Lotto Max,2012,January,Tuesday,33400000,355.9266666666667
Lotto Max,2012,January,Wednesday,29250000,436.47777777777776
Lotto Max,2012,January,Thursday,29250000,590.3416666666667
Lotto Max,2012,January,Friday,29250000,2136.2472222222223
Lotto Max,2012,January,Saturday,37750000,236.38888888888889
Lotto Max,2012,January,Sunday,33400000,151.4777777777778
Lotto Max,2012,February,Monday,18750000,202.41666666666666
Lotto Max,2012,February,Tuesday,18750000,327.81666666666666
Lotto Max,2012,February,Wednesday,25000000,489.96444444444444
Lotto Max,2012,February,Thursday,23750000,618.1916666666667
Lotto Max,2012,February,Friday,23750000,2031.125
Lotto Max,2012,February,Saturday,18750000,160.09166666666667
Lotto Max,2012,February,Sunday,18750000,117.15555555555555
Lotto Max,2012,March,Monday,40000000,303.10833333333335
Lotto Max,2012,March,Tuesday,40000000,371.98333333333335
Lotto Max,2012,March,Wednesday,40000000,507.0388888888889
Lotto Max,2012,March,Thursday,38000000,718.2711111111112
Lotto Max,2012,March,Friday,38000000,2402.777777777778
Lotto Max,2012,March,Saturday,38000000,222.53555555555556
Lotto Max,2012,March,Sunday,40000000,168.44722222222222
Lotto Max,2012,April,Monday,28050000,243.26500000000001
Lotto Max,2012,April,Tuesday,22500000,273.31944444444446
Lotto Max,2012,April,Wednesday,22500000,367.3
Lotto Max,2012,April,Thursday,22500000,644.3277777777778
Lotto Max,2012,April,Friday,22500000,1552.5555555555557
Lotto Max,2012,April,Saturday,27500000,190.5861111111111
Lotto Max,2012,April,Sunday,28000000,127.37333333333333
Lotto Max,2012,May,Monday,39750000,274.8027777777778
Lotto Max,2012,May,Tuesday,41800000,397.64222222222224
Lotto Max,2012,May,Wednesday,41800000,530.8066666666666
Lotto Max,2012,May,Thursday,41800000,789.4622222222222
Lotto Max,2012,May,Friday,44250000,2672.616666666667
Lotto Max,2012,May,Saturday,39750000,226.38333333333333
Lotto Max,2012,May,Sunday,39750000,169.29444444444445
Lotto Max,2012,June,Monday,48250000,360.4166666666667
Lotto Max,2012,June,Tuesday,48250000,443.44444444444446
Lotto Max,2012,June,Wednesday,48250000,591.4472222222222
Lotto Max,2012,June,Thursday,48250000,861.0694444444445
Lotto Max,2012,June,Friday,45000000,2629.8333333333335
Lotto Max,2012,June,Saturday,48600000,273.05555555555554
Lotto Max,2012,June,Sunday,48250000,193.49166666666667
Lotto Max,2012,July,Monday,30600000,236.76222222222222
Lotto Max,2012,July,Tuesday,30600000,335.3644444444445
Lotto Max,2012,July,Wednesday,30750000,497.81388888888887
Lotto Max,2012,July,Thursday,30750000,765.0694444444445
Lotto Max,2012,July,Friday,30750000,2743.5333333333333
Lotto Max,2012,July,Saturday,25750000,175.2111111111111
Lotto Max,2012,July,Sunday,30600000,139.55777777777777
Lotto Max,2012,August,Monday,40000000,250.76018518518518
Lotto Max,2012,August,Tuesday,40000000,349.69444444444446
Lotto Max,2012,August,Wednesday,38000000,461.47333333333336
Lotto Max,2012,August,Thursday,38000000,669.7822222222222
Lotto Max,2012,August,Friday,38000000,2162.971111111111
Lotto Max,2012,August,Saturday,40000000,200.4777777777778
Lotto Max,2012,August,Sunday,40000000,146.95
Lotto Max,2012,September,Monday,25000000,199.26666666666668
Lotto Max,2012,September,Tuesday,25000000,252.76111111111112
Lotto Max,2012,September,Wednesday,25000000,359.5527777777778
Lotto Max,2012,September,Thursday,25000000,518.7277777777778
Lotto Max,2012,September,Friday,25000000,1820.3972222222221
Lotto Max,2012,September,Saturday,30000000,183.64
Lotto Max,2012,September,Sunday,30000000,135.14
Lotto Max,2012,October,Monday,50000000,362.2622222222222
Lotto Max,2012,October,Tuesday,50000000,465.02444444444444
Lotto Max,2012,October,Wednesday,50000000,675.9111111111112
Lotto Max,2012,October,Thursday,50000000,954.0138888888889
Lotto Max,2012,October,Friday,50000000,3440.813888888889
Lotto Max,2012,October,Saturday,50000000,289.84166666666664
Lotto Max,2012,October,Sunday,50000000,219.91666666666666
Lotto Max,2012,November,Monday,44750000,301.0361111111111
Lotto Max,2012,November,Tuesday,44750000,376.3722222222222
Lotto Max,2012,November,Wednesday,44750000,522.7277777777778
Lotto Max,2012,November,Thursday,45800000,831.5177777777778
Lotto Max,2012,November,Friday,45800000,2891.9866666666667
Lotto Max,2012,November,Saturday,44750000,236.35833333333332
Lotto Max,2012,November,Sunday,44750000,167.69166666666666
Lotto Max,2012,December,Monday,26600000,302.35333333333335
Lotto Max,2012,December,Tuesday,28370370.37037037,271.01203703703703
Lotto Max,2012,December,Wednesday,28250000,413.84166666666664
Lotto Max,2012,December,Thursday,28250000,576.3916666666667
Lotto Max,2012,December,Friday,28250000,1933.6222222222223
Lotto Max,2012,December,Saturday,26600000,190.84
Lotto Max,2012,December,Sunday,26600000,146.78
Lotto Max,2013,January,Monday,17500000,211.04166666666666
Lotto Max,2013,January,Tuesday,17994444.444444444,209.75277777777777
Lotto Max,2013,January,Wednesday,18000000,335.0422222222222
Lotto Max,2013,January,Thursday,18000000,464.1622222222222
Lotto Max,2013,January,Friday,20000000,1670.5861111111112
Lotto Max,2013,January,Saturday,17500000,174.3972222222222
Lotto Max,2013,January,Sunday,17500000,118.41944444444445
Lotto Max,2013,February,Monday,20000000,193.08333333333334
Lotto Max,2013,February,Tuesday,20000000,261.43333333333334
Lotto Max,2013,February,Wednesday,20000000,324.0027777777778
Lotto Max,2013,February,Thursday,20000000,487.99444444444447
Lotto Max,2013,February,Friday,17500000,1427.7055555555555
Lotto Max,2013,February,Saturday,20000000,172.0009259259259
Lotto Max,2013,February,Sunday,19962962.962962963,119.91481481481482
Lotto Max,2013,March,Monday,22500000,220.44444444444446
Lotto Max,2013,March,Tuesday,22500000,255.9111111111111
Lotto Max,2013,March,Wednesday,22500000,364.84722222222223
Lotto Max,2013,March,Thursday,22500000,613.4972222222223
Lotto Max,2013,March,Friday,22000000,1465.1666666666667
Lotto Max,2013,March,Saturday,26000000,186.9777777777778
Lotto Max,2013,March,Sunday,26000000,123.6
Lotto Max,2013,April,Monday,28000000,234.14222222222222
Lotto Max,2013,April,Tuesday,28000000,278.5733333333333
Lotto Max,2013,April,Wednesday,25000000,341.9916666666667
Lotto Max,2013,April,Thursday,25000000,459.6277777777778
Lotto Max,2013,April,Friday,25000000,1738.4027777777778
Lotto Max,2013,April,Saturday,25000000,187.39444444444445
Lotto Max,2013,April,Sunday,25000000,128.45555555555555
Lotto Max,2013,May,Monday,27490740.740740743,204.25185185185185
Lotto Max,2013,May,Tuesday,27490740.740740743,275.4638888888889
Lotto Max,2013,May,Wednesday,30000000,405.36
Lotto Max,2013,May,Thursday,30000000,555.6977777777778
Lotto Max,2013,May,Friday,30000000,1846.9022222222222
Lotto Max,2013,May,Saturday,27500000,185.05277777777778
Lotto Max,2013,May,Sunday,27500000,130.48888888888888
Lotto Max,2013,June,Monday,25250000,222.71666666666667
Lotto Max,2013,June,Tuesday,25250000,261.56111111111113
Lotto Max,2013,June,Wednesday,25250000,345.64722222222224
Lotto Max,2013,June,Thursday,25250000,495.8333333333333
Lotto Max,2013,June,Friday,25250000,1688.1638888888888
Lotto Max,2013,June,Saturday,30200000,192.5
Lotto Max,2013,June,Sunday,30200000,137.45555555555555
Lotto Max,2013,July,Monday,26200000,193.32222222222222
Lotto Max,2013,July,Tuesday,26200000,265.81555555555553
Lotto Max,2013,July,Wednesday,26200000,359.91777777777776
Lotto Max,2013,July,Thursday,25250000,524.4611111111111
Lotto Max,2013,July,Friday,25250000,1745.4583333333333
Lotto Max,2013,July,Saturday,20243518.51851852,159.1212962962963
Lotto Max,2013,July,Sunday,20243518.51851852,114.925
Lotto Max,2013,August,Monday,18782407.407407407,176.775
Lotto Max,2013,August,Tuesday,18750000,237.55
Lotto Max,2013,August,Wednesday,18750000,318.6777777777778
Lotto Max,2013,August,Thursday,21000000,476.8777777777778
Lotto Max,2013,August,Friday,21000000,1542.9022222222222
Lotto Max,2013,August,Saturday,17000000,149.17777777777778
Lotto Max,2013,August,Sunday,18750000,111.725
Lotto Max,2013,September,Monday,14000000,162.45777777777778
Lotto Max,2013,September,Tuesday,12500000,204.59722222222223
Lotto Max,2013,September,Wednesday,12500000,277.85277777777776
Lotto Max,2013,September,Thursday,12500000,385.35833333333335
Lotto Max,2013,September,Friday,12500000,1397.0805555555555
Lotto Max,2013,September,Saturday,15018518.518518519,138.8111111111111
Lotto Max,2013,September,Sunday,13983333.333333334,102.81944444444444
Lotto Max,2013,October,Monday,44981481.481481485,251.19351851851852
Lotto Max,2013,October,Tuesday,40000000,333.3666666666667
Lotto Max,2013,October,Wednesday,40000000,450.6622222222222
Lotto Max,2013,October,Thursday,40000000,603.2466666666667
Lotto Max,2013,October,Friday,37500000,2052.786111111111
Lotto Max,2013,October,Saturday,45055555.55555555,232.2212962962963
Lotto Max,2013,October,Sunday,45000000,166.225
Lotto Max,2013,November,Monday,39750000,246.99722222222223
Lotto Max,2013,November,Tuesday,39750000,303.6611111111111
Lotto Max,2013,November,Wednesday,39750000,399.4277777777778
Lotto Max,2013,November,Thursday,39750000,585.6666666666666
Lotto Max,2013,November,Friday,41800000,2173.6666666666665
Lotto Max,2013,November,Saturday,41800000,214.2111111111111
Lotto Max,2013,November,Sunday,39750000,143.1
Lotto Max,2013,December,Monday,47417777.777777776,378.9161111111111
Lotto Max,2013,December,Tuesday,47400000,487.2711111111111
Lotto Max,2013,December,Wednesday,47825000,539.5138888888889
Lotto Max,2013,December,Thursday,47750000,826.2388888888889
Lotto Max,2013,December,Friday,47750000,2878.552777777778
Lotto Max,2013,December,Saturday,46750000,253.61666666666667
Lotto Max,2013,December,Sunday,47506666.666666664,181.23944444444444
Lotto Max,2014,January,Monday,37500000,259.8777777777778
Lotto Max,2014,January,Tuesday,37500000,285.6361111111111
Lotto Max,2014,January,Wednesday,39181111.11111111,359.28444444444443
Lotto Max,2014,January,Thursday,39200000,582.1355555555556
Lotto Max,2014,January,Friday,39200000,2004.4688888888888
Lotto Max,2014,January,Saturday,37500000,216.325
Lotto Max,2014,January,Sunday,37500000,150.70555555555555
Lotto Max,2014,February,Monday,47490740.74074074,256.30185185185184
Lotto Max,2014,February,Tuesday,47500000,356.525
Lotto Max,2014,February,Wednesday,47500000,437.3027777777778
Lotto Max,2014,February,Thursday,47500000,680.1777777777778
Lotto Max,2014,February,Friday,47500000,2278.947222222222
Lotto Max,2014,February,Saturday,47500000,238.1888888888889
Lotto Max,2014,February,Sunday,47490740.74074074,164.05
Lotto Max,2014,March,Monday,40200000,301.3177777777778
Lotto Max,2014,March,Tuesday,47750000,402.00555555555553
Lotto Max,2014,March,Wednesday,47750000,448.15833333333336
Lotto Max,2014,March,Thursday,47750000,754.4138888888889
Lotto Max,2014,March,Friday,47750000,2848.686111111111
Lotto Max,2014,March,Saturday,40200000,244.3711111111111
Lotto Max,2014,March,Sunday,40200000,165.89333333333335
Lotto Max,2014,April,Monday,30000000,240.89444444444445
Lotto Max,2014,April,Tuesday,26000000,256.0088888888889
Lotto Max,2014,April,Wednesday,26000000,369.74666666666667
Lotto Max,2014,April,Thursday,20000000,576.6
Lotto Max,2014,April,Friday,20000000,1404.85
Lotto Max,2014,April,Saturday,30000000,198.66666666666666
Lotto Max,2014,April,Sunday,30000000,135.35
Lotto Max,2014,May,Monday,26000000,201.90277777777777
Lotto Max,2014,May,Tuesday,26000000,268.96666666666664
Lotto Max,2014,May,Wednesday,26000000,355.8388888888889
Lotto Max,2014,May,Thursday,30800000,567.4422222222222
Lotto Max,2014,May,Friday,30800000,1852.0111111111112
Lotto Max,2014,May,Saturday,27200000,186.1977777777778
Lotto Max,2014,May,Sunday,26011111.111111112,135.48703703703703
Lotto Max,2014,June,Monday,21600000,204.82
Lotto Max,2014,June,Tuesday,19500000,230.67777777777778
Lotto Max,2014,June,Wednesday,19500000,305.40277777777777
Lotto Max,2014,June,Thursday,19500000,456.59166666666664
Lotto Max,2014,June,Friday,19500000,1522.4555555555555
Lotto Max,2014,June,Saturday,19000000,160.825
Lotto Max,2014,June,Sunday,21600000,121.22888888888889
Lotto Max,2014,July,Monday,13750000,193.2111111111111
Lotto Max,2014,July,Tuesday,16927777.777777776,185.62166666666667
Lotto Max,2014,July,Wednesday,17000000,300.4844444444444
Lotto Max,2014,July,Thursday,17000000,436.5022222222222
Lotto Max,2014,July,Friday,18750000,1440.5055555555555
Lotto Max,2014,July,Saturday,13763888.888888888,141.98888888888888
Lotto Max,2014,July,Sunday,13750000,103.75277777777778
Lotto Max,2014,August,Monday,28750000,206.55555555555554
Lotto Max,2014,August,Tuesday,28750000,294.72222222222223
Lotto Max,2014,August,Wednesday,28750000,394.4166666666667
Lotto Max,2014,August,Thursday,28750000,556.0916666666667
Lotto Max,2014,August,Friday,25000000,1554.5377777777778
Lotto Max,2014,August,Saturday,33000000,187.94444444444446
Lotto Max,2014,August,Sunday,33000000,139.17333333333335
Lotto Max,2014,September,Monday,22122777.777777776,186.635
Lotto Max,2014,September,Tuesday,22200000,252.0222222222222
Lotto Max,2014,September,Wednesday,22250000,339.80833333333334
Lotto Max,2014,September,Thursday,22250000,497.0083333333333
Lotto Max,2014,September,Friday,22250000,1687.1083333333333
Lotto Max,2014,September,Saturday,15250000,159.13055555555556
Lotto Max,2014,September,Sunday,15250000,116.94444444444444
Lotto Max,2014,October,Monday,16296296.296296297,167.90925925925927
Lotto Max,2014,October,Tuesday,16250000,218.4
Lotto Max,2014,October,Wednesday,17400000,309.08
Lotto Max,2014,October,Thursday,17400000,444.03777777777776
Lotto Max,2014,October,Friday,17400000,1500.0333333333333
Lotto Max,2014,October,Saturday,16250000,160.88888888888889
Lotto Max,2014,October,Sunday,16250000,113.125
Lotto Max,2014,November,Monday,28750000,229.3527777777778
Lotto Max,2014,November,Tuesday,28750000,256.90277777777777
Lotto Max,2014,November,Wednesday,28750000,353.8305555555556
Lotto Max,2014,November,Thursday,28750000,500.3
Lotto Max,2014,November,Friday,28750000,1723.4027777777778
Lotto Max,2014,November,Saturday,25200000,181.68666666666667
Lotto Max,2014,November,Sunday,25200000,131.7422222222222
Lotto Max,2014,December,Monday,23600000,268.4377777777778
Lotto Max,2014,December,Tuesday,23600000,322.93111111111114
Lotto Max,2014,December,Wednesday,23600000,434.49333333333334
Lotto Max,2014,December,Thursday,19461111.111111112,333.6925925925926
Lotto Max,2014,December,Friday,19500000,1360.2555555555555
Lotto Max,2014,December,Saturday,26750000,211.55555555555554
Lotto Max,2014,December,Sunday,26750000,152.23333333333332
Lotto Max,2015,January,Monday,37750000,273.0416666666667
Lotto Max,2015,January,Tuesday,37750000,303.93055555555554
Lotto Max,2015,January,Wednesday,37750000,409.73333333333335
Lotto Max,2015,January,Thursday,38195000,476.32388888888886
Lotto Max,2015,January,Friday,38200000,1920.3622222222223
Lotto Max,2015,January,Saturday,40200000,236.22666666666666
Lotto Max,2015,January,Sunday,37750000,170.26944444444445
Lotto Max,2015,February,Monday,25311111.111111112,168.8101851851852
Lotto Max,2015,February,Tuesday,25250000,288.18611111111113
Lotto Max,2015,February,Wednesday,25250000,368.8611111111111
Lotto Max,2015,February,Thursday,25250000,495.325
Lotto Max,2015,February,Friday,25250000,1695.0861111111112
Lotto Max,2015,February,Saturday,20250000,174.9
Lotto Max,2015,February,Sunday,25280555.555555556,127.82777777777778
Lotto Max,2015,March,Monday,29800000,239.12
Lotto Max,2015,March,Tuesday,29849444.444444444,260.5227777777778
Lotto Max,2015,March,Wednesday,33000000,363.1361111111111
Lotto Max,2015,March,Thursday,33000000,503.5861111111111
Lotto Max,2015,March,Friday,33000000,1731.8305555555555
Lotto Max,2015,March,Saturday,29750000,196.37777777777777
Lotto Max,2015,March,Sunday,29849444.444444444,139.63722222222222
Lotto Max,2015,April,Monday,38000000,264.02222222222224
Lotto Max,2015,April,Tuesday,38000000,314.8333333333333
Lotto Max,2015,April,Wednesday,33800000,383.48
Lotto Max,2015,April,Thursday,33800000,598.4533333333334
Lotto Max,2015,April,Friday,29750000,1487.4138888888888
Lotto Max,2015,April,Saturday,38000000,227.76111111111112
Lotto Max,2015,April,Sunday,38059259.25925926,151.6675925925926
Lotto Max,2015,May,Monday,50000000,329.1592592592593
Lotto Max,2015,May,Tuesday,50000000,443.11944444444447
Lotto Max,2015,May,Wednesday,50000000,592.6666666666666
Lotto Max,2015,May,Thursday,50000000,876.9861111111111
Lotto Max,2015,May,Friday,50000000,2917.92
Lotto Max,2015,May,Saturday,50000000,314.50888888888886
Lotto Max,2015,May,Sunday,50000000,228.67111111111112
Lotto Max,2015,June,Monday,46200000,349.8955555555556
Lotto Max,2015,June,Tuesday,46200000,410.5911111111111
Lotto Max,2015,June,Wednesday,45250000,511.96944444444443
Lotto Max,2015,June,Thursday,45250000,728.0583333333333
Lotto Max,2015,June,Friday,45250000,2441.4944444444445
Lotto Max,2015,June,Saturday,45250000,237.06944444444446
Lotto Max,2015,June,Sunday,45250000,177.8972222222222
