longitude,latitude,Borough,Neighbourhood,tickets
-79.58362750561798,43.7415776516854,Etobicoke,South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens,896
-79.57310647981545,43.64452348788927,Etobicoke,Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood,650
-79.5601680928382,43.75637125729443,North York,Humber Summit,245
-79.556715713073,43.6878195959253,Etobicoke,Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens,428
-79.55266382399213,43.65211440904621,Etobicoke,West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale,913
-79.54433917438692,43.59920042234332,Etobicoke,Alderwood / Long Branch,439
-79.53774206578947,43.73234374122807,North York,Humberlea / Emery,463
-79.53068101915709,43.69295382950192,Etobicoke,Westmount,373
-79.52765396654276,43.66579896654275,Etobicoke,Islington Avenue,253
-79.52028133947368,43.6481038,Etobicoke,The Kingsway / Montgomery Road / Old Mill North,316
-79.5177843801917,43.62943923322684,Etobicoke,Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West,323
-79.51538551960785,43.75594006372549,North York,DownsviewNorthwest,738
-79.51488078671329,43.704107083916085,York,Weston,652
-79.51008976744185,43.734602598837206,North York,DownsviewWest,505
-79.4994383785489,43.60848906782334,Etobicoke,New Toronto / Mimico South / Humber Bay Shores,471
-79.49717026129032,43.63373324516129,Etobicoke,Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East,369
-79.49309570105264,43.73038653894737,North York,DownsviewCentral,444
-79.48861974788494,43.762516739424704,North York,Northwood Park / York University,567
-79.48713809433963,43.71311416273585,North York,North Park / Maple Leaf Park / Upwood Park,339
-79.48352249056603,43.65319449865229,West Toronto,Runnymede / Swansea,419
-79.48248688875154,43.692254177997526,York,Del Ray / Mount Dennis / Keelsdale and Silverthorn,613
-79.4784888,43.67582298238994,York,Runnymede / The Junction North,738
-79.4686570859375,43.734888457031246,North York,DownsviewEast,246
-79.46391779073483,43.66041932268371,West Toronto,High Park / The Junction South,428
-79.45939099049882,43.714903197149646,North York,Lawrence Manor / Lawrence Heights,763
-79.4489653175034,43.68867168521031,York,Caledonia-Fairbanks,677
-79.44670855212766,43.751827137234045,North York,Bathurst Manor / Wilson Heights / Downsview North,757
-79.44522709230769,43.70741872153846,North York,Glencairn,360
-79.44387371039603,43.64851563861386,West Toronto,Parkdale / Roncesvalles,266
-79.43905247392638,43.66488311809816,West Toronto,Dufferin / Dovercourt Village,779
-79.4376135257732,43.688422436426116,York,Humewood-Cedarvale,288
-79.43671956169429,43.780692261510126,North York,WillowdaleWest,418
-79.43338224517375,43.64051178571429,West Toronto,Brockton / Parkdale Village / Exhibition Place,453
-79.42064218461539,43.668566367521365,Downtown Toronto,Christie,361
-79.42025845427287,43.729943529235385,North York,Bedford Park / Lawrence Manor East,179
-79.42025205508475,43.692007561440676,Central Toronto,Forest Hill North & West,226
-79.41888023543689,43.70917879368932,Central Toronto,Roselawn,73
-79.4163790747331,43.649088514234876,West Toronto,Little Portugal / Trinity,258
-79.4159339076923,43.78747582377623,North York,Willowdale / Newtonbrook,709
-79.40992155358582,43.768523451248996,North York,WillowdaleSouth,862
-79.40931214122138,43.67055166221374,Central Toronto,The Annex / North Midtown / Yorkville,347
-79.40623285338346,43.712405259398494,Central Toronto,North Toronto West,11
-79.40211908071748,43.642274820627804,Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,628
-79.40192394488189,43.74792361417323,North York,York Mills West,107
-79.40097326744186,43.68438977906977,Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,45
-79.39833023747276,43.66539946840959,Downtown Toronto,University of Toronto / Harbord,247
-79.39696711652542,43.65359925635593,Downtown Toronto,Kensington Market / Chinatown / Grange Park,567
-79.39325865375854,43.69925529157175,Central Toronto,Davisville,279
-79.38926577366256,43.65338255967078,Downtown Toronto,Richmond / Adelaide / King,545
-79.38898671899224,43.72806389922481,Central Toronto,Lawrence Park,114
-79.38605516504855,43.65911015210356,Downtown Toronto,Central Bay Street,659
-79.38407774780701,43.77785206798246,North York,Bayview Village,439
-79.38326509214092,43.75171199186992,North York,York Mills / Silver Hills,56
-79.38323749864499,43.65732081571816,Downtown Toronto,St. James Town,275
-79.38301198181819,43.647431628571425,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands,906
-79.38014732258064,43.669687878411914,Downtown Toronto,Church and Wellesley,351
-79.3788016003824,43.67891780497132,Downtown Toronto,Rosedale,876
-79.37750974380165,43.69029200275482,Central Toronto,Moore Park / Summerhill East,225
-79.37645157692307,43.649400042735046,Downtown Toronto,Berczy Park,319
-79.37380770549738,43.65542195157068,Downtown Toronto,Regent Park / Harbourfront,442
-79.37112567256636,43.66303932153392,Downtown Toronto,"Garden District, Ryerson",404
-79.36946104519774,43.668373672316385,Downtown Toronto,St. James Town / Cabbagetown,277
-79.36906571589086,43.70832872070626,East York,Leaside,284
-79.36683104061896,43.79899351837524,North York,Hillcrest Village,315
-79.35865037424547,43.74550975855131,North York,Don MillsNorth,212
-79.3583676451613,43.715424297235025,Central Toronto,Davisville North,454
-79.35775774509804,43.70539016993464,East York,Thorncliffe Park,297
-79.34732005867666,43.780173712858925,North York,Fairview / Henry Farm / Oriole,862
-79.3463641316568,43.729991593195265,North York,Don MillsSouth,534
-79.32962797193501,43.753265118168386,North York,Parkwoods,254
-79.32092244502618,43.798608108202444,Scarborough,Steeles West / L'Amoreaux West,697
-79.32010253133515,43.72482442779292,North York,Victoria Village,130
-79.31551245402952,43.75546258569807,Scarborough,Wexford / Maryvale,818
-79.31317030011455,43.690812524627724,East York,Woodbine Heights,744
-79.30881427950311,43.70666069358178,East York,Parkview Hill / Woodbine Gardens,267
-79.30309471132075,43.78179510566038,Scarborough,Clarks Corners / Tam O'Shanter / Sullivan,812
-79.2839725834464,43.70954877476255,Scarborough,Golden Mile / Clairlea / Oakridge,1029
-79.28065817986425,43.817251251131225,Scarborough,Milliken / Agincourt North / Steeles East / L'Amoreaux East,1156
-79.2719007612096,43.792575002085506,Scarborough,Agincourt,967
-79.27103566790123,43.76098408148148,Scarborough,Dorset Park / Wexford Heights / Scarborough Town Centre,1400
-79.2660112541806,43.696947277591974,Scarborough,Birch Cliff / Cliffside West,341
-79.26357480887793,43.729265829839704,Scarborough,Kennedy Park / Ionview / East Birchmount Park,917
-79.2491073525641,43.764275168803415,Scarborough,Cedarbrae,778
-79.23422172113676,43.72647880106572,Scarborough,Cliffside / Cliffcrest / Scarborough Village West,222
-79.2301642255489,43.74907808183633,Scarborough,Scarborough Village,470
-79.22451783203125,43.82650665234375,Scarborough,Upper Rouge,62
-79.22098768105066,43.76711305816135,Scarborough,Woburn,191
-79.20815256831683,43.805420276237626,Scarborough,Malvern / Rouge,1048
-79.18931680363636,43.766403946666664,Scarborough,Guildwood / Morningside / West Hill,725
-79.15445398552473,43.78784678528348,Scarborough,Rouge Hill / Port Union / Highland Creek,386
