game,year,month_str,total_jp_size,total_jp_sales
Lotto Max,2012,January,1003000000,51075.96774193549
Lotto Max,2012,February,615000000,50514.86206896549
Lotto Max,2012,March,1210000000,64220.03225806453
Lotto Max,2012,April,749888888.8888888,41896.80574712645
Lotto Max,2012,May,1281000000,63760.483870967735
Lotto Max,2012,June,1433000000,72941.76666666669
Lotto Max,2012,July,931000000,58891.741935483864
Lotto Max,2012,August,1209555555.5555556,58827.318279569896
Lotto Max,2012,September,800000000,42590.16666666665
Lotto Max,2012,October,1550000000,78777.09677419356
Lotto Max,2012,November,1353000000,75102.8
Lotto Max,2012,December,850733333.3333334,46395.15053763442
Lotto Max,2013,January,559777777.7777778,39897.91397849463
Lotto Max,2013,February,549444444.4444444,38393.44230769233
Lotto Max,2013,March,730000000,42670.22580645161
Lotto Max,2013,April,780000000,41961.2
Lotto Max,2013,May,889333333.3333334,49997.55161290324
Lotto Max,2013,June,807000000,41116.4
Lotto Max,2013,July,756511111.1111112,41432.65294771969
Lotto Max,2013,August,594888888.8888888,41294.74623655914
Lotto Max,2013,September,399666666.6666667,32823.82380952381
Lotto Max,2013,October,1289111111.1111112,51521.255839822035
Lotto Max,2013,November,1213000000,55964.40000000001
Lotto Max,2013,December,1466444444.4444444,67507.01865035223
Lotto Max,2014,January,1187488888.8888888,53360.8
Lotto Max,2014,February,1328888888.8888888,56720.55820105821
Lotto Max,2014,March,1367000000,62044.7419354839
Lotto Max,2014,April,780000000,40062.66666666666
Lotto Max,2014,May,859744444.4444444,48998.064516129045
Lotto Max,2014,June,604000000,37002.16666666667
Lotto Max,2014,July,494222222.2222222,35219.51735261402
Lotto Max,2014,August,915000000,44173.806451612894
Lotto Max,2014,September,610444444.4444444,40180.04252873564
Lotto Max,2014,October,520777777.7777778,40376.48387096773
Lotto Max,2014,November,827000000,41466.899999999994
Lotto Max,2014,December,723666666.6666666,38788.0569892473
Lotto Max,2015,January,1186555555.5555556,51655.646236559165
Lotto Max,2015,February,686433333.3333334,42674.028693528686
Lotto Max,2015,March,961733333.3333334,41737.49833147942
Lotto Max,2015,April,1064755555.5555556,44077.45287356322
Lotto Max,2015,May,1549444444.4444444,76279.09032258063
Lotto Max,2015,June,1367000000,60565.16666666667
Lotto Max,2015,July,1375000000,62662.161290322576
Lotto Max,2015,August,843000000,39220.032258064515
Lotto Max,2015,September,1409000000,62889.96666666669
Lotto Max,2015,October,1363522222.2222223,57126.918279569894
Lotto Max,2015,November,1203000000,51888.43333333334
Lotto Max,2015,December,1784333333.3333333,73446.77741935485
Lotto 649,2012,January,308500000,74640.29032258062
