game,year,day,total_jp_size,total_jp_sales
Lotto Max,2012,1,34916666.666666664,530.8305555555555
Lotto Max,2012,2,35833333.333333336,843.0185185185185
Lotto Max,2012,3,35583333.333333336,711.0425925925925
Lotto Max,2012,4,33500000,542.0648148148148
Lotto Max,2012,5,33500000,632.8472222222222
Lotto Max,2012,6,33493434.343434345,892.7803872053872
Lotto Max,2012,7,31666666.666666668,552.775
Lotto Max,2012,8,33250000,463.7564814814815
Lotto Max,2012,9,33857407.40740741,643.0066498316498
Lotto Max,2012,10,35083333.333333336,598.1361111111111
Lotto Max,2012,11,35500000,545.3388888888888
Lotto Max,2012,12,35500000,591.8638888888889
Lotto Max,2012,13,35500000,788.912962962963
Lotto Max,2012,14,34333333.333333336,608.0046296296297
Lotto Max,2012,15,36833333.333333336,570.687962962963
Lotto Max,2012,16,36833333.333333336,736.2490740740741
Lotto Max,2012,17,37500000,664.0361111111112
Lotto Max,2012,18,38333333.333333336,583.9314814814815
Lotto Max,2012,19,36416666.666666664,610.1462962962963
Lotto Max,2012,20,36416666.666666664,749.8092592592593
Lotto Max,2012,21,39750000,685.2861111111112
Lotto Max,2012,22,37416666.666666664,639.1583333333333
Lotto Max,2012,23,37416666.666666664,780.1314814814815
Lotto Max,2012,24,34916666.666666664,652.7574074074074
Lotto Max,2012,25,33292929.29292929,498.4962962962963
Lotto Max,2012,26,33666666.666666664,749.1509259259259
Lotto Max,2012,27,33666666.666666664,828.3675925925926
Lotto Max,2012,28,36166666.666666664,627.025
Lotto Max,2012,29,37666666.666666664,580.5055555555556
Lotto Max,2012,30,38363636.36363637,716.2646464646465
Lotto Max,2012,31,33142857.14285714,635.0285714285715
Lotto Max,2013,1,29259343.434343435,669.2805555555556
Lotto Max,2013,2,29000000,392.2490740740741
Lotto Max,2013,3,27333333.333333332,436.1962962962963
Lotto Max,2013,4,24833333.333333332,531.074074074074
Lotto Max,2013,5,24844074.074074075,623.5212962962963
Lotto Max,2013,6,19166666.666666668,532.037962962963
Lotto Max,2013,7,19583333.333333332,380.0342592592593
Lotto Max,2013,8,20333333.333333332,546.2296296296296
Lotto Max,2013,9,19916666.666666668,333.6712962962963
Lotto Max,2013,10,20323569.02356902,344.96287878787876
Lotto Max,2013,11,21166666.666666668,489.31944444444446
Lotto Max,2013,12,23666666.666666668,488.2611111111111
Lotto Max,2013,13,24916666.666666668,594.8333333333334
Lotto Max,2013,14,24487777.777777776,375.5625925925926
Lotto Max,2013,15,25333333.333333332,599.8888888888889
Lotto Max,2013,16,26000000,381.32037037037037
Lotto Max,2013,17,26416666.666666668,409.3222222222222
Lotto Max,2013,18,27250000,610.7305555555556
Lotto Max,2013,19,28083333.333333332,554.9074074074074
Lotto Max,2013,20,29340067.34006734,657.9220538720539
Lotto Max,2013,21,29006666.666666668,416.3081481481481
Lotto Max,2013,22,29765656.565656565,627.3707912457912
Lotto Max,2013,23,31502020.2020202,390.8333333333333
Lotto Max,2013,24,32333333.333333332,436.26296296296294
Lotto Max,2013,25,33978787.878787875,616.7600168350168
Lotto Max,2013,26,32333333.333333332,525.3231481481481
Lotto Max,2013,27,33833333.333333336,526.1648148148148
Lotto Max,2013,28,34666666.666666664,517.2787037037037
Lotto Max,2013,29,36927878.78787878,568.850101010101
Lotto Max,2013,30,37818181.81818182,477.7171717171717
Lotto Max,2013,31,33714285.71428572,682.8238095238095
Lotto Max,2014,1,30463737.373737372,321.07063973063975
Lotto Max,2014,2,30916666.666666668,437.72777777777776
Lotto Max,2014,3,30916666.666666668,553.8333333333334
Lotto Max,2014,4,31916666.666666668,528.9222222222222
Lotto Max,2014,5,30666666.666666668,536.2203703703703
Lotto Max,2014,6,28083333.333333332,435.7092592592593
Lotto Max,2014,7,26250000,706.8953703703704
Lotto Max,2014,8,27500000,381.46666666666664
Lotto Max,2014,9,27916666.666666668,448.3824074074074
Lotto Max,2014,10,24833333.333333332,580.4638888888888
Lotto Max,2014,11,23166666.666666668,471.57222222222225
Lotto Max,2014,12,24250000,471.48425925925926
Lotto Max,2014,13,24362289.562289562,433.81851851851854
Lotto Max,2014,14,24750000,844.8972222222222
Lotto Max,2014,15,25000000,357.55648148148146
