Borough,Neighbourhood,game,year,Ticket_sales,Net_sales,Income,SES,Education,MBSA,Population,jackpot_size
Central Toronto,Davisville,Lottario,2012,52.31147540983606,165.94808743169398,46634,3.804819818,12.81952781,0.791794244,25627,448142.07650273223
Central Toronto,Davisville,Lottario,2013,59.69505494505494,183.91483516483515,46634,3.804819818,12.81952781,0.791794244,25627,487417.5824175824
Central Toronto,Davisville,Lottario,2014,48.36986301369863,150.96438356164384,46634,3.804819818,12.81952781,0.791794244,25627,386084.9315068493
Central Toronto,Davisville,Lottario,2015,59.25479452054795,178.3041095890411,46634,3.804819818,12.81952781,0.791794244,25627,494164.38356164383
Central Toronto,Davisville,Lotto 649,2012,467.8142076502732,2171.7158469945357,46634,3.804819818,12.81952781,0.791794244,25627,10366120.218579235
Central Toronto,Davisville,Lotto 649,2013,481.8876712328767,2430.33698630137,46634,3.804819818,12.81952781,0.791794244,25627,10890410.95890411
Central Toronto,Davisville,Lotto 649,2014,367.08493150684933,2190.0575342465754,46634,3.804819818,12.81952781,0.791794244,25627,8641095.89041096
Central Toronto,Davisville,Lotto 649,2015,431.87397260273974,2578.454794520548,46634,3.804819818,12.81952781,0.791794244,25627,14010958.90410959
Central Toronto,Davisville,Lotto Max,2012,393.5136612021858,3497.773224043716,46634,3.804819818,12.81952781,0.791794244,25627,35483606.55737705
Central Toronto,Davisville,Lotto Max,2013,302.6876712328767,2583.780821917808,46634,3.804819818,12.81952781,0.791794244,25627,27515068.493150685
Central Toronto,Davisville,Lotto Max,2014,296.1287671232877,2531.958904109589,46634,3.804819818,12.81952781,0.791794244,25627,28005479.452054795
Central Toronto,Davisville,Lotto Max,2015,385.90410958904107,3283.6301369863013,46634,3.804819818,12.81952781,0.791794244,25627,40539726.02739726
Central Toronto,Davisville North,Lottario,2012,88.56284153005464,266.75956284153006,40051,2.598327812,12.27169421,0.739939256,19185,448142.07650273223
Central Toronto,Davisville North,Lottario,2013,99.15616438356165,281.15890410958906,40051,2.598327812,12.27169421,0.739939256,19185,486767.12328767125
Central Toronto,Davisville North,Lottario,2014,82.83561643835617,241.83013698630137,40051,2.598327812,12.27169421,0.739939256,19185,386084.9315068493
Central Toronto,Davisville North,Lottario,2015,98.4958904109589,279.6794520547945,40051,2.598327812,12.27169421,0.739939256,19185,494164.38356164383
Central Toronto,Davisville North,Lotto 649,2012,803.8415300546449,3623.0491803278687,40051,2.598327812,12.27169421,0.739939256,19185,10366120.218579235
Central Toronto,Davisville North,Lotto 649,2013,801.0767123287671,3920.6383561643834,40051,2.598327812,12.27169421,0.739939256,19185,10890410.95890411
Central Toronto,Davisville North,Lotto 649,2014,600.7753424657534,3343.290410958904,40051,2.598327812,12.27169421,0.739939256,19185,8641095.89041096
Central Toronto,Davisville North,Lotto 649,2015,670.027397260274,3858.608219178082,40051,2.598327812,12.27169421,0.739939256,19185,14010958.90410959
Central Toronto,Davisville North,Lotto Max,2012,651.2677595628415,5692.459016393443,40051,2.598327812,12.27169421,0.739939256,19185,35483606.55737705
Central Toronto,Davisville North,Lotto Max,2013,484.6876712328767,4041.7123287671234,40051,2.598327812,12.27169421,0.739939256,19185,27515068.493150685
Central Toronto,Davisville North,Lotto Max,2014,478.2246575342466,3911.1369863013697,40051,2.598327812,12.27169421,0.739939256,19185,28005479.452054795
Central Toronto,Davisville North,Lotto Max,2015,592.8986301369863,5000.054794520548,40051,2.598327812,12.27169421,0.739939256,19185,40539726.02739726
Central Toronto,Forest Hill North & West,Lottario,2012,36.721311475409834,114.67486338797814,40086,3.578986114,13.7561926,0.810232558,18343,448142.07650273223
Central Toronto,Forest Hill North & West,Lottario,2013,41.2,138.22465753424657,40086,3.578986114,13.7561926,0.810232558,18343,486767.12328767125
Central Toronto,Forest Hill North & West,Lottario,2014,36.26575342465753,109.1972602739726,40086,3.578986114,13.7561926,0.810232558,18343,386084.9315068493
Central Toronto,Forest Hill North & West,Lottario,2015,42.64657534246575,123.75068493150685,40086,3.578986114,13.7561926,0.810232558,18343,494164.38356164383
Central Toronto,Forest Hill North & West,Lotto 649,2012,373.8415300546448,1776.2459016393443,40086,3.578986114,13.7561926,0.810232558,18343,10366120.218579235
Central Toronto,Forest Hill North & West,Lotto 649,2013,387.73150684931505,2107.041095890411,40086,3.578986114,13.7561926,0.810232558,18343,10890410.95890411
Central Toronto,Forest Hill North & West,Lotto 649,2014,303.2027397260274,1923.9698630136986,40086,3.578986114,13.7561926,0.810232558,18343,8641095.89041096
Central Toronto,Forest Hill North & West,Lotto 649,2015,363.1506849315069,2332.857534246575,40086,3.578986114,13.7561926,0.810232558,18343,14010958.90410959
Central Toronto,Forest Hill North & West,Lotto Max,2012,307.61475409836066,2704.1939890710382,40086,3.578986114,13.7561926,0.810232558,18343,35483606.55737705
Central Toronto,Forest Hill North & West,Lotto Max,2013,247.75068493150684,2144.3698630136987,40086,3.578986114,13.7561926,0.810232558,18343,27515068.493150685
Central Toronto,Forest Hill North & West,Lotto Max,2014,247.7123287671233,2158.72602739726,40086,3.578986114,13.7561926,0.810232558,18343,28005479.452054795
Central Toronto,Forest Hill North & West,Lotto Max,2015,327.36164383561646,2951.671232876712,40086,3.578986114,13.7561926,0.810232558,18343,40539726.02739726
Central Toronto,Lawrence Park,Lottario,2012,18.48633879781421,57.19125683060109,54792,5.002946044,13.55341807,0.812129202,15194,448142.07650273223
Central Toronto,Lawrence Park,Lottario,2013,20.12054794520548,66.85753424657534,54792,5.002946044,13.55341807,0.812129202,15194,486767.12328767125
Central Toronto,Lawrence Park,Lottario,2014,16.117808219178084,50.701369863013696,54792,5.002946044,13.55341807,0.812129202,15194,386084.9315068493
Central Toronto,Lawrence Park,Lottario,2015,19.61917808219178,60.83013698630137,54792,5.002946044,13.55341807,0.812129202,15194,494164.38356164383
Central Toronto,Lawrence Park,Lotto 649,2012,206.18032786885246,1173.0437158469945,54792,5.002946044,13.55341807,0.812129202,15194,10366120.218579235
Central Toronto,Lawrence Park,Lotto 649,2013,196.33972602739726,1071.1835616438357,54792,5.002946044,13.55341807,0.812129202,15194,10890410.95890411
Central Toronto,Lawrence Park,Lotto 649,2014,151.46301369863014,925.2739726027397,54792,5.002946044,13.55341807,0.812129202,15194,8641095.89041096
Central Toronto,Lawrence Park,Lotto 649,2015,180.4849315068493,1120.717808219178,54792,5.002946044,13.55341807,0.812129202,15194,14010958.90410959
Central Toronto,Lawrence Park,Lotto Max,2012,162.7513661202186,1526.9398907103825,54792,5.002946044,13.55341807,0.812129202,15194,35483606.55737705
Central Toronto,Lawrence Park,Lotto Max,2013,119.75068493150685,1053.849315068493,54792,5.002946044,13.55341807,0.812129202,15194,27515068.493150685
Central Toronto,Lawrence Park,Lotto Max,2014,118.38630136986302,1021.972602739726,54792,5.002946044,13.55341807,0.812129202,15194,28005479.452054795
Central Toronto,Lawrence Park,Lotto Max,2015,162.15890410958903,1419.4794520547946,54792,5.002946044,13.55341807,0.812129202,15194,40539726.02739726
Central Toronto,Moore Park / Summerhill East,Lottario,2012,45.59289617486339,171.10928961748633,51827,5.034888514,14.17795753,0.83028720600000006,10094,448142.07650273223
